country,est_annual_import_value_usd,import_duty_pct_text,local_competition,competition_basis,value_source,duty_source
Germany,1240000000,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,"Domestic makers (keeeper, Fackelmann, Emsa) plus entrenched China supply","OEC / IndexBox, HS 3924, 2023/24 — verified country total",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
France,806000000,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,Domestic makers plus strong China/Turkey supply,"TrendEconomy / UN Comtrade, HS 3924, 2023 — verified country total",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
United Kingdom,732000000,6% on HS 3924 (UK Global Tariff); reduced for Nigeria under the DCTS scheme — verify on the gov.uk trade tariff tool.,H,"Domestic makers (What More/Wham, Addis) plus China supply","IndexBox / UN Comtrade, HS 3924, 2024 — verified country total",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Netherlands,697000000,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,"Domestic brand owners (Mepal, Brabantia, Curver) — but a major re-export hub, open to importers","IndexBox, HS 3924, 2024 — verified country total",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Poland,645000000,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,"Large domestic plastics industry (Florentyna, Plast Team and others)","TrendEconomy / UN Comtrade, HS 3924, 2023 — verified; HS 3923 separately $1.45bn",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Italy,430000000,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,Strong domestic industry (Guzzini and many others),"Derived from GTAIC stated 2.67% share of a >$16bn pool, 2024 — DERIVED, verify on Trade Map",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Spain,345000000,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,"Strong domestic industry (Sp Berner, Lekue, Tatay)","Derived from GTAIC stated 2.16% share, 2024 — DERIVED; verified $257m for the tableware subset only (2022)",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Albania,700000,,L,Little domestic manufacturing,"Derived from WITS share (0.006% of world tableware imports, 2023) — DERIVED, small market",
Switzerland,,0% — Switzerland abolished all industrial import tariffs on 1 January 2024.,M,No major domestic housewares maker; brand-led market,Floor only: $99m imported from China alone in 2024 — country total not published,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Belgium,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Limited domestic manufacturing; distribution-led market,"Volume only: 25k tonnes = 5.2% of EU import volume, 2024",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Czechia,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,Tescoma home market plus regional makers,"Floor only: $63m from China alone; 16k tonnes = 8.4% of EU volume, 2024",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Sweden,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Limited domestic manufacturing; Nordic importer brands compete,"Volume only: 28k tonnes imported, 2024",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
